"No","Year","Author(s)","Objective/Problem","Dataset/Data Source","Method/Approach","Functionality/Process","Tools/Technologies","Evaluation Metrics","Key Findings / Results","Weaknesses/Limitations","Research Gap/Relevance"
1,2026,"Adeyemo, A.A., Atanda, O.G., Oyebade, A.I.","Develop interpretable phishing email detection framework","Email dataset","PCA + Machine Learning","Feature reduction via PCA and ML classification","Python, PCA, ML","Accuracy, Precision, Recall, F1-score","Improved interpretability and detection accuracy","PCA may remove important features","Explore alternative feature selection methods"
2,2025,"Slapničar, S., Axelsen, M., & Eulerich, M.","Examine organizational cyber risk management alignment","27 interviews, risk documents from 5 orgs","Qualitative research, interviews, cross-case analysis","Examines risk measurement and decision support","ISO/IEC 27005","Qualitative coding, cross-case comparison","Actual risk measurement remains largely qualitative","Small sample size limits generalizability","Integration of quantitative risk measurement with management"
3,2025,"Yeasmin, M. N., Refat, M. A. R., Singh, B. C., et al.","Lightweight ensemble-learning model for phishing detection","UCI Phishing Websites dataset","Ensemble learning (DT, RF, KNN) with hard voting","Feature selection, ML classification, voting","Python, ML, DT, RF, KNN","Accuracy, F1-score, execution time","Achieved 97.21% accuracy and reduced execution time","Tested mainly on static dataset","Needs testing on dynamic real-time phishing data"
4,2026,"Muhammad Atho'ullah Aziman & Ghea Sekar Palupi","Assess information security risks at PT XYZ","Interviews, observations, assets from PT XYZ","Qualitative descriptive case study","Asset identification, threat analysis, risk treatment","ISO/IEC 27005:2018","Likelihood and Impact qualitative ratings","Identified critical and high risks affecting connectivity","Focuses on a single ISP case study","Application of ISO 27005 in real-world environments"
5,2024,"Bezerra, A., Pereira, I., Rebelo, M. A., et al.","Detect phishing emails using machine learning","Email server dataset","Machine Learning classification","Extracts email features and classifies emails","Python, ML algorithms","Accuracy, Precision, Recall, F1-score","High accuracy in phishing email detection","Performance depends heavily on dataset quality","Needs advanced models for newer phishing techniques"
6,2025,"Chanda, R. C., Vafaei-Zadeh, A., Hanifah, H., et al.","Identify factors influencing employee cybersecurity awareness","355 survey responses from bank employees","PLS-SEM, ANN, and fsQCA","Analyzes awareness, threat knowledge, vulnerability","PLS-SEM, ANN, fsQCA","Cronbach's alpha, AVE, R2, path coefficients","Threat perception significantly drives awareness","Focused on a single developing-country context","Combines multiple methods to evaluate security awareness"
7,2026,"Simon Unger, Ektor Arzoglou, Markus Heinrich, et al.","Attack graph-based risk assessment for OT systems","OT and railway case-study scenarios","Graph-based risk assessment","Identifies attack vectors and paths visually","Attack Graphs, OT tools","Graph connectivity, consequence nodes","Connects attack paths directly with countermeasures","Large graphs become complex to organize","Combines attack paths with countermeasure mapping"
8,2025,"Xueyuan Wei, Yingdong Dong","Hybrid BN-LR model for risk prediction","CISA Known Exploited Vulnerabilities catalog","Bayesian Networks + Logistic Regression","BN models probabilities, LR classifies risk","Python, BN, Logistic Regression","Accuracy, ROC-AUC","Achieved 92-97% accuracy in risk prediction","Relies on CISA catalog, misses zero-day threats","Multi-source real-time risk prediction framework"
9,2025,"Pooyan Azizi, Sadegh Sarhani Moghadam, et al.","Improve intrusion detection accuracy","KDD99 and UNSW-NB15 datasets","Hybrid CNN-RF approach","CNN extracts features, RF classifies traffic","Python, TensorFlow, Scikit-Learn","Accuracy, Precision, Recall, Detection Rate","Achieved ~97% accuracy and lower execution time","KDD99 dataset is outdated","Feature selection combined with RF classification"
10,2025,"Koroma, Syed Fofanah, Maurice Sesay, et al.","Reduce false alarms in intrusion detection","KDD99 and UNSW-NB15 datasets","Hybrid CNN and Random Forest","Feature extraction followed by classification","Python, Jupyter, TensorFlow","Accuracy, Detection Rate, F1-score","High detection rate across both test datasets","Needs validation in modern cloud environments","Combining deep feature extraction with ensemble models"
11,2025,"Andersson, S., Bergström, E., Lundgren, M., et al.","Investigate challenges faced by security practitioners","Interviews with 17 ATM security experts","Qualitative thematic coding","Identifies support needs in ISRM workflows","NVivo, MS Excel","Qualitative coding consistency","Highlighted need for automated risk scoring","Domain-specific focus limits generalizability","Bridges gap between ISRM tools and practical needs"
12,2026,"Nezih Mahmut Unal & Baris Celiktas","Automated context-aware risk assessment framework","15 real vulnerability scenarios","LLM-based context processing + ROC scoring","LLM parses vulnerability context to score risk","GPT-4o, Gemini Flash, ROC method","Pearson & Spearman correlation, Alpha","Strong correlation (0.93-0.97) with human experts","Potential for LLM hallucination","Combines LLM context parsing with metric scoring"
13,2025,"G. Nalinipriya, S. Rama Sree, K. Radhika, et al.","Explainable AI for early cyber threat detection","NSL-KDD and CICIDS2017 datasets","SDAE with Mayfly/Hiking optimization + LIME","Optimizes features and classifies attack traffic","Python, SDAE, MOA, HOA, LIME","Accuracy (99.09%), Precision, Recall","Achieved 99.09% accuracy with LIME explanations","High computational and model complexity","Combines attack classification with Explainable AI"
14,2022,"Balhasan et al.","Assess information security controls in banking","Al Wahda Bank case study","Qualitative case study analysis","Evaluates security practices and control gaps","Banking security frameworks","Qualitative compliance check","Delivered practical security guidelines","Single-bank scope limits generalizability","Structured security control evaluation"
15,2023,"Hamid Reza Naji, Aref Ayati","Lightweight IT risk model for postal UAV systems","Postal UAV literature and case study","ENISA ISMS qualitative 4x4 matrix + AHP","Identifies threats, evaluates CIA impact via AHP","AHP Method, SWOT Matrix","Likelihood, Severity, C-I-A-A Impact","Improved development team coordination","Heavy reliance on expert opinion","Adapting qualitative risk models for agile systems"
16,2024,"Habib EL Amin, Abed Ellatif Samhat, et al.","Hybrid risk assessment integrating CTI","Mailing service platform case study","Dynamic risk calculation ($R = L \times I \times S$)","Enriches vulnerability scans with dynamic CTI","CTI feeds, MITRE ATT&CK","Dynamic Risk Rating reduction","Reduced risk value significantly upon CTI triggers","Requires high CTI data quality","Dynamic risk scoring using continuous threat feeds"
17,2022,"Wicaksono, A. C., Prabowo, S., & Oktaria, D.","Assess security risks using ISO 27001 and FMEA","Government agency process assets","ISO 27001 framework + FMEA","Calculates Risk Priority Number (RPN)","ISO 27001, FMEA","Severity, Occurrence, Detection, RPN","Structured prioritization of public sector risks","Single government agency focus","Combining ISO 27001 controls with FMEA scoring"
18,2024,"Ahmad Zainudin Mahfud, Ira Rosianal Hikmah, et al.","Design ISMS framework for smart city e-gov","Primary data from ABC e-Gov Agency","ISO 27005:2022, ISO 27001:2022, NIST SP 800-53","Evaluated 102 risk scenarios for likelihood/impact","ISO 27005, NIST SP 800-53","Scenario acceptance thresholds","74% of risks required mitigation controls","Lacks post-implementation empirical testing","Tailored risk framework for e-Government systems"
19,2023,"Iturbe et al.","Industrial security risk assessment methodology","Industrial system assets and threat scenarios","ISA/IEC 62443 security assessment","Identifies industrial assets and threat paths","ISA/IEC 62443 compliance tools","Compliance evaluation criteria","Provides reusable industrial threat model","Requires wider industrial environment validation","Structured threat identification for ICS"
20,2024,"Alonso, R., Haber, R. E., Castaño, F., et al.","Security and privacy framework for manufacturing SMEs","KITT4SME manufacturing project datasets","Hybrid meta-framework (FAIR, OCTAVE, NIST)","Classifies threats and maps mTLS/OAuth controls","Docker, Kubernetes, OAuth2, OPA","Risk Likelihood and Severity","Identified core SME access control requirements","Deployment complexity on cloud platforms","Security framework tailored for cloud manufacturing"
21,2024,"Rosado, D. G., Sánchez, L. E., Varela-Vaca, A. J., et al.","Business process-level security risk management","Healthcare appointment system assets","MARISMA-BP extension with BPMN 2.0","Links process assets directly to security controls","MARISMA-BP, BPMN 2.0, ISO 27002","Probability, Degradation, Risk Level","Automated risk assessment for business workflows","Asset mapping still requires manual effort","Integrating process workflows with security risk models"
22,2025,"Robert Luh, Sebastian Eresheim, Simon Gmeiner, et al.","Quantitative cyber risk model for attack/defense","MITRE ATT&CK, D3FEND, CAPEC bases","Algorithmic quantitative success estimation","Calculates attack success and CIA damage impact","MITRE ATT&CK, D3FEND, CAPEC","Success/Detection Probability, CIA Impact","Provides mathematical estimates for attack paths","Relies on predefined probability rules","Quantitative CIA impact modeling"
23,2024,"Huang, Shaio-Yan, Wang Tawei, Huang, Yu-Ting, et al.","Evaluate security risks for non-financial mobile payment","Expert panel from payment service providers","Modified Delphi method + COBIT 2019","Identifies critical mobile payment vulnerabilities","COBIT 2019 framework","Content Validity Ratio (CVR), Quartile Dev","Identified 30 key mobile payment risk items","Focused primarily on Asian payment market","COBIT-based risk evaluation for mobile platforms"
24,2024,"Rios-Aguilar, Sergio, Beltrán, Marta, et al.","Threat modeling for NFC read/write in Nx-IIoT","NFC applications and hardware specifications","STRIDE threat modeling + Attack Trees","Classifies threats into STRIDE categories","STRIDE, Attack Trees, NFC specifications","Qualitative threat coverage","Identified tag replacement and spoofing threats","Conceptual analysis lacking testbed validation","Systematic STRIDE modeling for IoT hardware"
25,2025,"Yi-Chih Yang & Yu-Chen Chen","Supply chain risk prediction using ML and blockchain","Historical supply chain operational logs","Single-Class SVM + Blockchain verification","Detects operational anomalies and logs events","Single-Class SVM, Smart Contracts","Accuracy (90.3%), Recall (75%), Response time","Proactive supply chain anomaly warning","Relies on selected case study parameters","Automated prediction paired with immutable logs"
26,2025,"Changxia Li & Haolin Chen","Enhance campus network DNS protection","University campus network traffic logs","DNS cluster deployment + blacklist filtering","Filters malicious domain requests in real-time","Technitium DNS, Firewalls, TSIG","DNS operational uptime, threat mitigation","Reduced campus-wide malicious DNS traffic","Lacks comparative benchmarks with commercial DNS","Practical DNS architecture implementation"
27,2023,"Xuhua Zhao","Automated cybersecurity risk management via XDR","Configuration logs and 20-question audit","Workflow mapping to CIS Controls and ISO 27001","Maps risk findings to XDR platform controls","Crystal Eye XDR, GRC Platform","Risk mapping completeness","Direct operational mapping for 20 common risks","Lacks numerical response time benchmarking","Automated mitigation mapping within XDR tools"
28,2023,"Kire Jakimoski","Network situation assessment for sports equipment","Simulated security event logs (2,000-5,000 alarms)","SVM + Bayesian Network inference","Correlates alarm events to assess security state","ASP.NET, Oracle, SVM, Bayesian Nets","Accuracy (96.6%), False Alarm Rate (0.55%)","Significantly reduced batch processing time","Execution efficiency drops on dense networks","Hybrid ML for alarm correlation and situation scoring"
29,2024,"Yang Li, Tao Wang","Secure satellite resource scheduling platform","Satellite scheduling traffic and HTTP streams","Browser-Server (B/S) architecture + WAF/IDS","Isolates network layers to prevent DDoS/XSS","WAF, IDS, Hardware Gateways","System throughput, DDoS mitigation rate","Transitioning to B/S improved resource usage","Lacks experimental quantitative benchmarks","Securing web dissemination for high-security systems"
30,2023,"Hong Li, Yuhao Zhao, and Huixun Li","Payload encryption for socket file transfers","Synthetic benchmark files of varying sizes","Blowfish symmetric key encryption","Encrypts socket content during transmission","TCP/IP Socket Programming, Blowfish","Encryption/Decryption Execution Time","Demonstrated strong payload encryption efficiency","Slower execution speed compared to DES","Symmetric payload encryption for socket data"
31,2023,"Duo Zhang","Embedded IDS behind perimeter firewall","Normal network traffic + DoS/Probe/U2R attack logs","IDS embedded directly behind packet filter","Scans internal packet payloads against signatures","Packet-Filtering Firewalls, IDS","Detection Rate, Omission Rate, False Alarms","Boosted Probe detection from 82.5% to 94.2%","Lacks hardware testbed specifications","Placing signature detection behind perimeter barriers"
32,2023,"Qiang Zhang, Zhenyu Luo, and Juan Zhang","Enterprise data security assessment via clustering","Simulation sample set of file sharing logs","K-means clustering + SVM assessment","Clusters user access logs to quantify risk","MySQL, Tomcat, CVSS Datasets","Assessment Accuracy, System Response Time","Accurately matched real-world data security levels","Tested on small simulation datasets","Unsupervised clustering for enterprise risk auditing"
